phenotype,monti_pheno
Alanine_aminotransferase,Alanine_aminotransferase
Albumin,Albumin
Alkaline_phosphatase,Alkaline_phosphatase
Apolipoprotein_A,Apolipoprotein_A
Apolipoprotein_B,Apolipoprotein_B
Aspartate_aminotransferase,Aspartate_aminotransferase
Calcium,Calcium
c_reactive_protein,C-reactive_protein
Creatinine,Creatinine
Cystatin_C,Cystatin_C
Direct_bilirubin,Direct_bilirubin
Gamma_glutamyltransferase,Gamma_glutamyltransferase
Glucose,Glucose
glycated_haemoglobin_hba1c,Glycated_haemoglobin_(HbA1c)
HDL_cholesterol,HDL_cholesterol
IGF1,IGF-1
LDL_direct,LDL_direct
Lipoprotein_A,Lipoprotein_A
Oestradiol,Oestradiol
Phosphate,Phosphate
Rheumatoid_factor,Rheumatoid_factor
SHBG,SHBG
Testosterone,Testosterone
Total_bilirubin,Total_bilirubin
Triglycerides,Triglycerides
Urate,Urate
Urea,Urea
Vitamin_D,Vitamin_D
